service_id,date,exception_type
8,20130902,1
11,20130903,1
2,20130904,1
2,20130905,1
2,20130906,1
7,20130907,1
7,20130908,1
2,20130909,1
2,20130910,1
2,20130911,1
2,20130912,1
2,20130913,1
7,20130914,1
7,20130915,1
2,20130916,1
2,20130917,1
2,20130918,1
2,20130919,1
2,20130920,1
7,20130921,1
7,20130922,1
2,20130923,1
2,20130924,1
2,20130925,1
2,20130926,1
2,20130927,1
7,20130928,1
7,20130929,1
2,20130930,1
2,20131001,1
2,20131002,1
2,20131003,1
2,20131004,1
7,20131005,1
7,20131006,1
2,20131007,1
2,20131008,1
2,20131009,1
2,20131010,1
2,20131011,1
7,20131012,1
7,20131013,1
2,20131014,1
2,20131015,1
2,20131016,1
2,20131017,1
2,20131018,1
7,20131019,1
7,20131020,1
2,20131021,1
2,20131022,1
2,20131023,1
2,20131024,1
2,20131025,1
7,20131026,1
7,20131027,1
2,20131028,1
2,20131029,1
2,20131030,1
2,20131031,1
2,20131101,1
7,20131102,1
7,20131103,1
2,20131104,1
2,20131105,1
2,20131106,1
2,20131107,1
2,20131108,1
7,20131109,1
7,20131110,1
2,20131111,1
2,20131112,1
2,20131113,1
2,20131114,1
2,20131115,1
7,20131116,1
7,20131117,1
2,20131118,1
2,20131119,1
2,20131120,1
2,20131121,1
2,20131122,1
7,20131123,1
7,20131124,1
2,20131125,1
2,20131126,1
2,20131127,1
3,20131128,1
9,20131129,1
7,20131130,1
7,20131201,1
2,20131202,1
2,20131203,1
2,20131204,1
2,20131205,1
2,20131206,1
7,20131207,1
7,20131208,1
2,20131209,1
2,20131210,1
2,20131211,1
2,20131212,1
2,20131213,1
7,20131214,1
7,20131215,1
2,20131216,1
2,20131217,1
2,20131218,1
2,20131219,1
2,20131220,1
7,20131221,1
7,20131222,1
9,20131223,1
9,20131224,1
9,20131225,1
9,20131226,1
9,20131227,1
7,20131228,1
7,20131229,1
9,20131230,1
9,20131231,1
